Common_Name	Scientific_Name	Subspecies	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Analysis_Number	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Inclusive_Prey_Taxon	Prey_Name_ITIS_ID	Prey_Name_Status	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	1	Study_Type	Notes	Entered_By	Source
Fork-tailed Storm-Petrel	Oceanodroma furcata		Hydrobatidae	eBird Clements Checkllist v2019	NA	NA	NA	NA	NA	Alaska	Wooded Island	grassland; shrubland	4	1976	5	1976	spring	1	Animalia	Arthropoda						Neoclanaus cristatus	yes				NA		0.9	Occurrence	10	17	1	emetic	collected at night; Table III-8; bird sample size was 15-20; removed Fat and Plastic Particles	CW	"Baird, P. A., P. J. Gould, C. J. Lensink, G. A. Sanger, and S. A. Hatch. 1983. The breeding biology and feeding ecology of marine birds in the Gulf of Alaska. U.S. Fish Wildl. Serv., final report, Outer Continental Shelf Environ. Assess. Program, Anchorage, AK. pg 192-195"
Fork-tailed Storm-Petrel	Oceanodroma furcata		Hydrobatidae	eBird Clements Checkllist v2019	NA	NA	NA	NA	NA	Alaska	Wooded Islands	grassland; shrubland	4	1976	5	1976	spring	1	Animalia	Arthropoda						Thysanoessa spinifera	yes				NA		0.7	Occurrence	10	17	1	emetic	collected at night; Table III-8; bird sample size was 15-20; removed Fat and Plastic Particles	CW	"Baird, P. A., P. J. Gould, C. J. Lensink, G. A. Sanger, and S. A. Hatch. 1983. The breeding biology and feeding ecology of marine birds in the Gulf of Alaska. U.S. Fish Wildl. Serv., final report, Outer Continental Shelf Environ. Assess. Program, Anchorage, AK. pg 192-195"
Fork-tailed Storm-Petrel	Oceanodroma furcata		Hydrobatidae	eBird Clements Checkllist v2019	NA	NA	NA	NA	NA	Alaska	Wooded Islands	grassland; shrubland	4	1976	5	1976	spring	1	Animalia	Chordata							no				NA		1	Occurrence	10	17	1	emetic	collected at night; Table III-8; bird sample size was 15-20; removed Fat and Plastic Particles	CW	"Baird, P. A., P. J. Gould, C. J. Lensink, G. A. Sanger, and S. A. Hatch. 1983. The breeding biology and feeding ecology of marine birds in the Gulf of Alaska. U.S. Fish Wildl. Serv., final report, Outer Continental Shelf Environ. Assess. Program, Anchorage, AK. pg 192-195"
Fork-tailed Storm-Petrel	Oceanodroma furcata		Hydrobatidae	eBird Clements Checkllist v2019	NA	NA	NA	NA	NA	Alaska	Wooded Islands	grassland; shrubland	4	1977	6	1977	spring; summer	1	Animalia	Arthropoda						Neoclanaus cristatus	yes				NA		0.17	Occurrence	12	17	1	emetic	collected at night; Table III-8; bird sample size was 15-20; removed Fat and Plastic Particles	CW	"Baird, P. A., P. J. Gould, C. J. Lensink, G. A. Sanger, and S. A. Hatch. 1983. The breeding biology and feeding ecology of marine birds in the Gulf of Alaska. U.S. Fish Wildl. Serv., final report, Outer Continental Shelf Environ. Assess. Program, Anchorage, AK. pg 192-195"
Fork-tailed Storm-Petrel	Oceanodroma furcata		Hydrobatidae	eBird Clements Checkllist v2019	NA	NA	NA	NA	NA	Alaska	Wooded Islands	grassland; shrubland	4	1977	6	1977	spring; summer	1	Animalia	Arthropoda						Paracallisoma alberti	yes				NA		0.75	Occurrence	12	17	1	emetic	collected at night; Table III-8; bird sample size was 15-20; removed Fat and Plastic Particles	CW	"Baird, P. A., P. J. Gould, C. J. Lensink, G. A. Sanger, and S. A. Hatch. 1983. The breeding biology and feeding ecology of marine birds in the Gulf of Alaska. U.S. Fish Wildl. Serv., final report, Outer Continental Shelf Environ. Assess. Program, Anchorage, AK. pg 192-195"
Fork-tailed Storm-Petrel	Oceanodroma furcata		Hydrobatidae	eBird Clements Checkllist v2019	NA	NA	NA	NA	NA	Alaska	Wooded Islands	grassland; shrubland	4	1977	6	1977	spring; summer	1	Animalia	Arthropoda						Thysanoessa spinifera	yes				NA		0.5	Occurrence	12	17	1	emetic	collected at night; Table III-8; bird sample size was 15-20; removed Fat and Plastic Particles	CW	"Baird, P. A., P. J. Gould, C. J. Lensink, G. A. Sanger, and S. A. Hatch. 1983. The breeding biology and feeding ecology of marine birds in the Gulf of Alaska. U.S. Fish Wildl. Serv., final report, Outer Continental Shelf Environ. Assess. Program, Anchorage, AK. pg 192-195"
Fork-tailed Storm-Petrel	Oceanodroma furcata		Hydrobatidae	eBird Clements Checkllist v2019	NA	NA	NA	NA	NA	Alaska	Wooded Islands	grassland; shrubland	4	1977	6	1977	spring; summer	1	Animalia	Arthropoda						Hymenodora frontalis	yes				NA		0.17	Occurrence	12	17	1	emetic	collected at night; Table III-8; bird sample size was 15-20; removed Fat and Plastic Particles	CW	"Baird, P. A., P. J. Gould, C. J. Lensink, G. A. Sanger, and S. A. Hatch. 1983. The breeding biology and feeding ecology of marine birds in the Gulf of Alaska. U.S. Fish Wildl. Serv., final report, Outer Continental Shelf Environ. Assess. Program, Anchorage, AK. pg 192-195"
Fork-tailed Storm-Petrel	Oceanodroma furcata		Hydrobatidae	eBird Clements Checkllist v2019	NA	NA	NA	NA	NA	Alaska	Wooded Islands	grassland; shrubland	4	1977	6	1977	spring; summer	1	Animalia	Mollusca	Cephalopoda						yes				NA		0.17	Occurrence	12	17	1	emetic	collected at night; Table III-8; bird sample size was 15-20; removed Fat and Plastic Particles	CW	"Baird, P. A., P. J. Gould, C. J. Lensink, G. A. Sanger, and S. A. Hatch. 1983. The breeding biology and feeding ecology of marine birds in the Gulf of Alaska. U.S. Fish Wildl. Serv., final report, Outer Continental Shelf Environ. Assess. Program, Anchorage, AK. pg 192-195"
Fork-tailed Storm-Petrel	Oceanodroma furcata		Hydrobatidae	eBird Clements Checkllist v2019	NA	NA	NA	NA	NA	Alaska	Wooded Islands	grassland; shrubland	4	1977	6	1977	spring; summer	1	Animalia	Chordata	Teleostei	Scorpaeniformes	Cottoidei	Cottidae			yes				NA		0.08	Occurrence	12	17	1	emetic	collected at night; Table III-8; bird sample size was 15-20; removed Fat and Plastic Particles	CW	"Baird, P. A., P. J. Gould, C. J. Lensink, G. A. Sanger, and S. A. Hatch. 1983. The breeding biology and feeding ecology of marine birds in the Gulf of Alaska. U.S. Fish Wildl. Serv., final report, Outer Continental Shelf Environ. Assess. Program, Anchorage, AK. pg 192-195"
Fork-tailed Storm-Petrel	Oceanodroma furcata		Hydrobatidae	eBird Clements Checkllist v2019	NA	NA	NA	NA	NA	Alaska	Wooded Islands	grassland; shrubland	4	1977	6	1977	spring; summer	1	Animalia	Chordata	Teleostei			Gadidae			yes				NA	Cod	0.17	Occurrence	12	17	1	emetic	collected at night; Table III-8; bird sample size was 15-20; removed Fat and Plastic Particles	CW	"Baird, P. A., P. J. Gould, C. J. Lensink, G. A. Sanger, and S. A. Hatch. 1983. The breeding biology and feeding ecology of marine birds in the Gulf of Alaska. U.S. Fish Wildl. Serv., final report, Outer Continental Shelf Environ. Assess. Program, Anchorage, AK. pg 192-195"
Fork-tailed Storm-Petrel	Oceanodroma furcata		Hydrobatidae	eBird Clements Checkllist v2019	NA	NA	NA	NA	NA	Alaska	Wooded Islands	grassland; shrubland	4	1977	6	1977	spring; summer	1	Animalia	Chordata	Teleostei			Myctophinae			yes				NA	Lanternfish	0.08	Occurrence	12	17	1	emetic	collected at night; Table III-8; bird sample size was 15-20; removed Fat and Plastic Particles	CW	"Baird, P. A., P. J. Gould, C. J. Lensink, G. A. Sanger, and S. A. Hatch. 1983. The breeding biology and feeding ecology of marine birds in the Gulf of Alaska. U.S. Fish Wildl. Serv., final report, Outer Continental Shelf Environ. Assess. Program, Anchorage, AK. pg 192-195"
Fork-tailed Storm-Petrel	Oceanodroma furcata		Hydrobatidae	eBird Clements Checkllist v2019	NA	NA	NA	NA	NA	Alaska	Wooded Islands	grassland; shrubland	4	1977	6	1977	spring; summer	1	Animalia			Scorpaeniformes					no				NA		0.08	Occurrence	12	17	1	emetic	collected at night; Table III-8; bird sample size was 15-20; removed Fat and Plastic Particles	CW	"Baird, P. A., P. J. Gould, C. J. Lensink, G. A. Sanger, and S. A. Hatch. 1983. The breeding biology and feeding ecology of marine birds in the Gulf of Alaska. U.S. Fish Wildl. Serv., final report, Outer Continental Shelf Environ. Assess. Program, Anchorage, AK. pg 192-195"
Fork-tailed Storm-Petrel	Oceanodroma furcata		Hydrobatidae	eBird Clements Checkllist v2019	NA	NA	NA	NA	NA	Alaska	Wooded Islands	grassland; shrubland	4	1977	6	1977	spring; summer	1	Animalia	Chordata							no				NA		1	Occurrence	12	17	1	emetic	collected at night; Table III-8; bird sample size was 15-20; removed Fat and Plastic Particles	CW	"Baird, P. A., P. J. Gould, C. J. Lensink, G. A. Sanger, and S. A. Hatch. 1983. The breeding biology and feeding ecology of marine birds in the Gulf of Alaska. U.S. Fish Wildl. Serv., final report, Outer Continental Shelf Environ. Assess. Program, Anchorage, AK. pg 192-195"
