Common_Name	Scientific_Name	Subspecies	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Unidentified	Prey_Name_ITIS_ID	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source
Merlin	Falco Columbarius	NA	eBird Clements Checklist v2017		52.11666667	-106.6333333	500	NA	NA	Canada	Saskatoon	scrubland; coniferous forest	5	1987	7	1987	summer	Animalia	Chordata	Aves	Passeriformes	NA	Passeridae	NA	Passer domesticus	no	NA	NA	NA	House Sparrow	0.203703704	Items	378	65	1	prey remains	Bird Samples number for this study represents the number of nests that were used in the study. 	DR	"Sodhi, N. S. 1991a. Foraging ecology of urban-breeding Merlins (Falco columbarius). Ph.D. diss. Univ. Saskatchewan, Saskatoon."
Merlin	Falco Columbarius	NA	eBird Clements Checklist v2018		52.11666667	-106.6333333	500	NA	NA	Canada	Saskatoon	scrubland; coniferous forest	5	1987	7	1987	summer	Animalia	Chordata	Aves	Passeriformes	NA	Alaudidae	NA	Eremophila alpestris	no	NA	NA	NA	Horned Lark	0.087301587	Items	378	65	1	prey remains	Bird Samples number for this study represents the number of nests that were used in the study. 	DR	"Sodhi, N. S. 1991a. Foraging ecology of urban-breeding Merlins (Falco columbarius). Ph.D. diss. Univ. Saskatchewan, Saskatoon."
Merlin	Falco Columbarius	NA	eBird Clements Checklist v2019		52.11666667	-106.6333333	500	NA	NA	Canada	Saskatoon	scrubland; coniferous forest	5	1987	7	1987	summer	Animalia	Chordata	Aves	Passeriformes	NA	Turdidae	NA	Turdus migratorius	no	NA	NA	NA	American Robin	0.047619048	Items	378	65	1	prey remains	Bird Samples number for this study represents the number of nests that were used in the study. 	DR	"Sodhi, N. S. 1991a. Foraging ecology of urban-breeding Merlins (Falco columbarius). Ph.D. diss. Univ. Saskatchewan, Saskatoon."
Merlin	Falco Columbarius	NA	eBird Clements Checklist v2020		52.11666667	-106.6333333	500	NA	NA	Canada	Saskatoon	scrubland; coniferous forest	5	1987	7	1987	summer	Animalia	Chordata	Aves	Passeriformes	NA	Turdidae	NA	Catharus ustulatus	no	NA	NA	NA	Swainson's Thrush	0.023809524	Items	378	65	1	prey remains	Bird Samples number for this study represents the number of nests that were used in the study. 	DR	"Sodhi, N. S. 1991a. Foraging ecology of urban-breeding Merlins (Falco columbarius). Ph.D. diss. Univ. Saskatchewan, Saskatoon."
Merlin	Falco Columbarius	NA	eBird Clements Checklist v2021		52.11666667	-106.6333333	500	NA	NA	Canada	Saskatoon	scrubland; coniferous forest	5	1987	7	1987	summer	Animalia	Chordata	Aves	Passeriformes	NA	Bombycillidae	NA	Bombycilla cedrorum	no	NA	NA	NA	Cedar Waxwing	0.031746032	Items	378	65	1	prey remains	Bird Samples number for this study represents the number of nests that were used in the study. 	DR	"Sodhi, N. S. 1991a. Foraging ecology of urban-breeding Merlins (Falco columbarius). Ph.D. diss. Univ. Saskatchewan, Saskatoon."
Merlin	Falco Columbarius	NA	eBird Clements Checklist v2022		52.11666667	-106.6333333	500	NA	NA	Canada	Saskatoon	scrubland; coniferous forest	5	1987	7	1987	summer	Animalia	Chordata	Aves	Passeriformes	NA	Emberizidae	NA	Spizella passerina	no	NA	NA	NA	Chipping Sparrow	0.015873016	Items	378	65	1	prey remains	Bird Samples number for this study represents the number of nests that were used in the study. 	DR	"Sodhi, N. S. 1991a. Foraging ecology of urban-breeding Merlins (Falco columbarius). Ph.D. diss. Univ. Saskatchewan, Saskatoon."
Merlin	Falco Columbarius	NA	eBird Clements Checklist v2023		52.11666667	-106.6333333	500	NA	NA	Canada	Saskatoon	scrubland; coniferous forest	5	1987	7	1987	summer	Animalia	Chordata	Aves	Passeriformes	NA	Parulidae	NA	Dendroica petechia	no	NA	NA	NA	Yellow Warbler	0.015873016	Items	378	65	1	prey remains	Bird Samples number for this study represents the number of nests that were used in the study. 	DR	"Sodhi, N. S. 1991a. Foraging ecology of urban-breeding Merlins (Falco columbarius). Ph.D. diss. Univ. Saskatchewan, Saskatoon."
Merlin	Falco Columbarius	NA	eBird Clements Checklist v2024		52.11666667	-106.6333333	500	NA	NA	Canada	Saskatoon	scrubland; coniferous forest	5	1987	7	1987	summer	Animalia	Chordata	Aves	Passeriformes	NA	Calcariidae	NA	Plectrophenax nivalis	no	NA	NA	NA	Snow Bunting	0.007936508	Items	378	65	1	prey remains	Bird Samples number for this study represents the number of nests that were used in the study. 	DR	"Sodhi, N. S. 1991a. Foraging ecology of urban-breeding Merlins (Falco columbarius). Ph.D. diss. Univ. Saskatchewan, Saskatoon."
Merlin	Falco Columbarius	NA	eBird Clements Checklist v2025		52.11666667	-106.6333333	500	NA	NA	Canada	Saskatoon	scrubland; coniferous forest	5	1987	7	1987	summer	Animalia	Chordata	Aves	Passeriformes	NA	Icteridae	NA	Euphagus cyanocephalus	no	NA	NA	NA	Brewer's Blackbird	0.013227513	Items	378	65	1	prey remains	Bird Samples number for this study represents the number of nests that were used in the study. 	DR	"Sodhi, N. S. 1991a. Foraging ecology of urban-breeding Merlins (Falco columbarius). Ph.D. diss. Univ. Saskatchewan, Saskatoon."
Merlin	Falco Columbarius	NA	eBird Clements Checklist v2026		52.11666667	-106.6333333	500	NA	NA	Canada	Saskatoon	scrubland; coniferous forest	5	1987	7	1987	summer	Animalia	Chordata	Aves	Passeriformes	NA	Bombycillidae	NA	Bombycilla garrulus	no	NA	NA	NA	Bohemian Waxwing	0.013227513	Items	378	65	1	prey remains	Bird Samples number for this study represents the number of nests that were used in the study. 	DR	"Sodhi, N. S. 1991a. Foraging ecology of urban-breeding Merlins (Falco columbarius). Ph.D. diss. Univ. Saskatchewan, Saskatoon."
