"level"	"name"	"condition"
"Scientific_Name"	"Athous brightwelli"	"unmatched"
"Scientific_Name"	"Denticollis denticornis"	"unmatched"
"Scientific_Name"	"Isomira  sericea"	"unmatched"
"Scientific_Name"	"Clogmia albipunctata"	"unmatched"
"Scientific_Name"	"Syrphus  knabi"	"unmatched"
"Scientific_Name"	"Syrphus  rectus"	"unmatched"
"Scientific_Name"	"Maccaffertium  pudicum"	"unmatched"
"Scientific_Name"	"Eulepidotis caeruleilinea"	"unmatched"
"Scientific_Name"	"Pseudasellodes fenestraria"	"unmatched"
"Scientific_Name"	"Speranza  pustularia"	"unmatched"
"Scientific_Name"	"Parornix anglicella"	"unmatched"
"Scientific_Name"	"Ochlodes sylvanus"	"unmatched"
"Scientific_Name"	"Parrhasius album"	"unmatched"
"Scientific_Name"	"Hypotrix carnetincta"	"unmatched"
"Scientific_Name"	"Ochropleura  astigmata"	"unmatched"
"Scientific_Name"	"Protoschinia scutosa"	"unmatched"
"Scientific_Name"	"Xestia nigrum"	"unmatched"
"Scientific_Name"	"Calisto aquilum"	"unmatched"
"Scientific_Name"	"Calisto"	"unmatched"
"Scientific_Name"	"Plodia interpunctella"	"unmatched"
"Scientific_Name"	"Acleris nigrolinea"	"unmatched"
"Scientific_Name"	"Pseudexentera cosotomaculana"	"unmatched"
"Scientific_Name"	"Acoloithus falsarius"	"unmatched"
"Scientific_Name"	"Eutonia  alleni"	"unmatched"
"Scientific_Name"	"Schwenckfeldina quadrispinosa"	"unmatched"
"Scientific_Name"	"Pseudexentera"	"unmatched"
"Scientific_Name"	"Pityohyphantes"	"wrong rank; too low"
"Scientific_Name"	"Hybomitra"	"wrong rank; too low"
"Genus"	"Calisto"	"unmatched"
"Kingdom"	NA	"unaccepted name"
