Common_Name	Scientific_Name	Subspecies	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Unidentified	Prey_Name_ITIS_ID	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source
																																							
Eastern Wood-Pewee	Contopus virens		Tyrannidae (Tyrant Flycatchers)	eBird Clements Checklist v2016	NA	NA	NA	NA	658	West Virginia	Sleepy Creek Public Hunting and Fishing Area	Deciduous Forest	May	1986	July	1986	Summer	Animalia	Arthropoda	Insecta	Hymenoptera	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1468	Wt_or_Vol	NA	19	6	stomach contents		DR	"Sample, B. E., R. F. Cooper, and R. C. Whitmore. 1993. Dietary shifts among songbirds from a diflubenzuron-treated forest. Condor 95:616-624."
Eastern Wood-Pewee	Contopus virens		Tyrannidae (Tyrant Flycatchers)	eBird Clements Checklist v2016	NA	NA	NA	NA	658	West Virginia	Sleepy Creek Public Hunting and Fishing Area	Deciduous Forest	May	1986	July	1986	Summer	Animalia	Arthropoda	Insecta	Diptera	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.2019	Wt_or_Vol	NA	19	6	stomach contents		DR	"Sample, B. E., R. F. Cooper, and R. C. Whitmore. 1993. Dietary shifts among songbirds from a diflubenzuron-treated forest. Condor 95:616-624."
Eastern Wood-Pewee	Contopus virens		Tyrannidae (Tyrant Flycatchers)	eBird Clements Checklist v2016	NA	NA	NA	NA	658	West Virginia	Sleepy Creek Public Hunting and Fishing Area	Deciduous Forest	May	1986	July	1986	Summer	Animalia	Arthropoda	Insecta	Lepidoptera	NA	NA	NA	NA	NA	NA	Adult	NA	NA	0.1193	Wt_or_Vol	NA	19	6	stomach contents		DR	"Sample, B. E., R. F. Cooper, and R. C. Whitmore. 1993. Dietary shifts among songbirds from a diflubenzuron-treated forest. Condor 95:616-624."
Eastern Wood-Pewee	Contopus virens		Tyrannidae (Tyrant Flycatchers)	eBird Clements Checklist v2016	NA	NA	NA	NA	658	West Virginia	Sleepy Creek Public Hunting and Fishing Area	Deciduous Forest	May	1986	July	1986	Summer	Animalia	Arthropoda	Insecta	Lepidoptera	NA	NA	NA	NA	NA	NA	Pupae	NA	NA	NA	Wt_or_Vol	NA	19	6	stomach contents		DR	"Sample, B. E., R. F. Cooper, and R. C. Whitmore. 1993. Dietary shifts among songbirds from a diflubenzuron-treated forest. Condor 95:616-624."
Eastern Wood-Pewee	Contopus virens		Tyrannidae (Tyrant Flycatchers)	eBird Clements Checklist v2016	NA	NA	NA	NA	658	West Virginia	Sleepy Creek Public Hunting and Fishing Area	Deciduous Forest	May	1986	July	1986	Summer	Animalia	Arthropoda	Insecta	Lepidoptera	NA	NA	NA	NA	NA	NA	Larvae	NA	NA	0.101	Wt_or_Vol	NA	19	6	stomach contents		DR	"Sample, B. E., R. F. Cooper, and R. C. Whitmore. 1993. Dietary shifts among songbirds from a diflubenzuron-treated forest. Condor 95:616-624."
Eastern Wood-Pewee	Contopus virens		Tyrannidae (Tyrant Flycatchers)	eBird Clements Checklist v2016	NA	NA	NA	NA	658	West Virginia	Sleepy Creek Public Hunting and Fishing Area	Deciduous Forest	May	1986	July	1986	Summer	Animalia	Arthropoda	Insecta	Coleoptera	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.101	Wt_or_Vol	NA	19	6	stomach contents		DR	"Sample, B. E., R. F. Cooper, and R. C. Whitmore. 1993. Dietary shifts among songbirds from a diflubenzuron-treated forest. Condor 95:616-624."
Eastern Wood-Pewee	Contopus virens		Tyrannidae (Tyrant Flycatchers)	eBird Clements Checklist v2016	NA	NA	NA	NA	658	West Virginia	Sleepy Creek Public Hunting and Fishing Area	Deciduous Forest	May	1986	July	1986	Summer	Animalia	Arthropoda	Insecta	Homoptera	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.2386	Wt_or_Vol	NA	19	6	stomach contents		DR	"Sample, B. E., R. F. Cooper, and R. C. Whitmore. 1993. Dietary shifts among songbirds from a diflubenzuron-treated forest. Condor 95:616-624."
Eastern Wood-Pewee	Contopus virens		Tyrannidae (Tyrant Flycatchers)	eBird Clements Checklist v2016	NA	NA	NA	NA	658	West Virginia	Sleepy Creek Public Hunting and Fishing Area	Deciduous Forest	May	1986	July	1986	Summer	Animalia	Arthropoda	Insecta	Homoptera	Heteroptera	NA	NA	NA	NA	NA	NA	NA	NA	NA	Wt_or_Vol	NA	19	6	stomach contents		DR	"Sample, B. E., R. F. Cooper, and R. C. Whitmore. 1993. Dietary shifts among songbirds from a diflubenzuron-treated forest. Condor 95:616-624."
Eastern Wood-Pewee	Contopus virens		Tyrannidae (Tyrant Flycatchers)	eBird Clements Checklist v2016	NA	NA	NA	NA	658	West Virginia	Sleepy Creek Public Hunting and Fishing Area	Deciduous Forest	May	1986	July	1986	Summer	Animalia	Arthropoda	Insecta	Orthoptera	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0458	Wt_or_Vol	NA	19	6	stomach contents		DR	"Sample, B. E., R. F. Cooper, and R. C. Whitmore. 1993. Dietary shifts among songbirds from a diflubenzuron-treated forest. Condor 95:616-624."
