level	name	condition	replacewith	notes				
Scientific_Name	Phalacrocorax olivaceous	unmatched	Phalacrocorax brasilianus					
Scientific_Name	Ameriurus nebulosus	unmatched	Ameiurus nebulosus					
Scientific_Name	Gallus domesticus	unmatched	Gallus gallus					
Scientific_Name	Lepus amerianus	unmatched	Lepus americanus					
Scientific_Name	Leucophaeus articilla	unmatched	Leucophaeus atricilla					
Scientific_Name	Tringa melanoleucus	unmatched	Tringa melanoleuca 					
Scientific_Name	Cyprinus cypio	unmatched	Cyprinus carpio					
Scientific_Name	Felis domesticus	unmatched	Felis catus					
Scientific_Name	Hypoglossoides elassodon	unmatched	Hippoglossoides elassodon					
Scientific_Name	Felis domestica	unmatched	Felis catus					
Scientific_Name	Colaptes auratu	wrong rank; too high	Colaptes auratus					
Scientific_Name	Odocoileus rafinesque	unmatched	Odocoileus virginianus					
Scientific_Name	Branta canadenses	unmatched	Branta canadensis					
Scientific_Name	Microtus amakensis	unmatched	Microtus oeconomus					
Scientific_Name	Lagopus rupestris	unmatched	Lagopus muta					
Scientific_Name	Uria aalgae	unmatched	Uria aalge					
Scientific_Name	Oncorhynchus clarki	unmatched	Oncorhynchus clarkii					
Scientific_Name	Thomomys talpoide	wrong rank; too high	Thomomys talpoides					
Scientific_Name	Alosa psedoharengus	unmatched	Alosa pseudoharengus					
Scientific_Name	Loligo pealei	wrong rank; too high	Loligo pealeii					
Scientific_Name	Canis famiiliaris	unmatched	Canis familiaris					
Scientific_Name	Abrocoma bennetti	wrong rank; too high	Abrocoma bennettii					
Scientific_Name	Oryzomys longicaudatus	wrong rank; too high	Oligoryzomys longicaudatus					
Scientific_Name	Pipilo erythrophthalamus	unmatched	Pipilo erythrophthalmus					
Scientific_Name	Tamias hudsonicus	unmatched	Tamiasciurus hudsonicus					
Scientific_Name	Corydalus cornuta	unmatched	Corydalis cornuta					
Scientific_Name	Sceloporus jarrovi	wrong rank; too high	Sceloporus jarrovii					
Scientific_Name	Sayornis pheobe	unmatched	Sayornis phoebe					
Scientific_Name	Catharus fuscesens	unmatched	Catharus fuscescens					
Scientific_Name	Richmondena cardinalis	unmatched	Cardinalis cardinalis					
Scientific_Name	Citellus tridecemlineatus	unmatched	Ictidomys tridecemlineatus					
Scientific_Name	Eutamias bulleri	unmatched	Tamias bulleri					
Scientific_Name	Dryobates scalaris	unmatched	Picoides scalaris					
Scientific_Name	Dumetella carolinesis	unmatched	Dumetella carolinensis					
Scientific_Name	Neotamias townsendii	unmatched	Tamias townsendii					
Scientific_Name	Phrynosoma douglassi	wrong rank; too high	Phrynosoma douglassii					
Scientific_Name	Dipodomys ord	wrong rank; too high	Dipodomys ordii					
Scientific_Name	Lepus californicu	wrong rank; too high	Lepus californicus					
Scientific_Name	Sylvilagus nuttali	unmatched	Sylvilagus nuttalii					
Scientific_Name	Eremophila alpestri	unmatched	Eremophila alpestris					
Scientific_Name	Athene cuniculari	wrong rank; too high	Athene cunicularia					
Scientific_Name	Pituophis melanoleucu	wrong rank; too high	Pituophis melanoleucus					
Scientific_Name	Urocitellus richarsonii	unmatched	Urocitellus richardsonii					
Scientific_Name	Lepus townsendi	wrong rank; too high	Lepus townsendii					
Scientific_Name	Zenaidura macroura	unmatched	Zenaida macroura					
Scientific_Name	Colaptes cafer	unmatched	Colaptes auratus					
Scientific_Name	Ondatra zibethicu	wrong rank; too high	Ondatra zibethicus					
Scientific_Name	Sylvilagus nuttall	wrong rank; too high	Sylvilagus nuttallii					
Scientific_Name	Corvus brachyrhync	wrong rank; too high	Corvus brachyrhyncos					
Scientific_Name	Equus ferus caballus	unmatched	Equus caballus					
Scientific_Name	Lepomis  gibbosus	unmatched	Lepomis gibbosus					
Scientific_Name	Marmosa elegans	unmatched	Thylamys elegans					
Scientific_Name	Pantherophis obsoletus	unmatched	Elaphe obsoleta					
Scientific_Name	Plestiodon brevirostris	unmatched	Eumeces brevirostris					
Scientific_Name	Gallus gallus domesticus	unmatched	Gallus gallus	Subspecies = domesticus				
Scientific_Name	Anas platyrhynchos domesticus	unmatched	Anas platyrhynchos	Subspecies = domesticus				
Scientific_Name	Tyrannus verticalus	unmatched	Tyrannus verticalis					
Scientific_Name	Aspidoscelis tigris	unmatched	Cnemidophorus tigris					
Scientific_Name	Oreothlypis celata	unmatched	Leiothlypis celata					
Scientific_Name	Coccothraustes vespertinaus	unmatched	Hesperiphona vespertina					
Scientific_Name	Plestiodon gilberti	unmatched	Eumeces gilberti					
Scientific_Name	Zea mays?	unmatched	Zea mays					
Scientific_Name	Fagopyrum esculentum Moensch	unmatched	Fagopyrum esculentum					
Scientific_Name	Ambrosia artemsiifolia	unmatched	Ambrosia artemisiifolia					
Scientific_Name	Bistorta vivpara	unmatched	Bistorta vivipara					
Scientific_Name	Termopsis augusticollis	unmatched	Zootermopsis angusticollis					
Scientific_Name	"Aphodius fimetarius, eleutus"	unmatched	Aphodius fimetarius					
Scientific_Name	Helobia punctipennis	unmatched	Symplecta punctipennis					
Scientific_Name	Scatophaga furcata	unmatched	Scathophaga furcata					
Scientific_Name	Cercyon fulvipennis	unmatched	Cercyon limbatus					
Scientific_Name	Microbregma emarginatum granicolle	wrong rank; too high	Microbregma emarginatum	Subspecies = granicolle				
Scientific_Name	Serropalpus barbatus	unmatched		Genus = Serropalpus & Family = Melandryidae & Order = Coleoptera & Class = Insecta & Phylum = Arthropoda & Kingdom = Animalia & Unidentified = no				
Scientific_Name	Sapromyza luteola	unmatched		Genus = Sapromyza & Family = Lauxaniidae & Order = Diptera & Class = Insecta & Phylum = Arthropoda & Kingdom = Animalia & Unidentified = no				
Scientific_Name	Dichrochira glabricula	unmatched	Pteromicra glabricula					
Scientific_Name	Aphodius distinctus	unmatched	Chilothorax distinctus					
Scientific_Name	Tegenaria derhami	unmatched	Tegenaria domestica					
Scientific_Name	Kali tragus	unmatched	Salsola tragus					
Scientific_Name	Ischaemum rugosum; Oryza latifolia; Rottboellia cochinchinensis	unmatched		Family = Poaceae				
Scientific_Name	Pennisetum glaucum	unmatched	Cenchrus americanus					
Scientific_Name	Echinochloa crus-gall	wrong rank; too high	Echinochloa crus-galli					
Scientific_Name	Lepomis	wrong rank; too low		Genus = Lepomis				
Scientific_Name	Rhamnus purshianus	unmatched	Rhamnus purshiana					
Scientific_Name	Prunus domesticus	unmatched	Prunus domestica					
Scientific_Name	Quercus agrifolia garryana	unmatched	Quercus garryana					
Scientific_Name	Quercus agrifolia kelloggi	unmatched	Quercus kelloggii					
Scientific_Name	Quercus agrifolia wislizenii	unmatched	Quercus wislizeni					
Scientific_Name	Quercus agrifolia emoryii	unmatched	Quercus emoryi					
Scientific_Name	Quercus agrifolia hypoleuca	unmatched	Quercus hypoleucoides					
Scientific_Name	Cornus nuttalli	wrong rank; too high	Cornus nuttallii					
Scientific_Name	Veronica texana	unmatched	Vernonia texana					
Scientific_Name	Brassicaceae sinapis	unmatched		Genus = Sinapis				
Scientific_Name	Gallium	unmatched		Genus = Galium				
Scientific_Name	Phytolaca americana	unmatched	Phytolacca americana					
Scientific_Name	Abutilon molle	unmatched	Abutilon grandifolium					
Scientific_Name	Syzygium Cumini	wrong rank; too high	Syzygium cumini					
Scientific_Name	Paspalum Urvillei	wrong rank; too high	Paspalum urvillei					
Scientific_Name	Wikstroemia phillyraefolia	unmatched	Wikstroemia phillyreifolia					
Scientific_Name	Xanthium saccharotum	unmatched	Xanthium strumarium					
Scientific_Name	Cirphis unipuncta	unmatched	Mythimna unipuncta					
Scientific_Name	Megacerus alternatus	unmatched	Megacerus leucospilus					
Scientific_Name	Momordica Balsamina	wrong rank; too high	Momordica balsamina					
Scientific_Name	Cajanus Cajan	wrong rank; too high	Cajanus cajan					
Scientific_Name	Lantana Camara	wrong rank; too high	Lantana camara					
Scientific_Name	Siegesbeckia orientalis	unmatched	Sigesbeckia orientalis					
Scientific_Name	Cassia Leschenaultiana	wrong rank; too high	Chamaecrista nictitans					
Scientific_Name	Chenopodium oachuense	unmatched	Chenopodium oahuense					
Scientific_Name	Psidium Guajava	wrong rank; too high	Psidium guajava					
Scientific_Name	Styphelia Tameiameiae	wrong rank; too high	Leptecophylla tameiameiae					
Scientific_Name	Panicum texanum	unmatched	Urochloa texana					
Scientific_Name	Panicum reptans	unmatched	Urochloa reptans					
Scientific_Name	Zizyphus obtusifolia	unmatched	Ziziphus obtusifolia					
Scientific_Name	Melanoplus femur-rubrum	unmatched	Melanoplus femurrubrum					
Scientific_Name	Pheuticus melanocephalus	unmatched	Pheucticus melanocephalus					
Scientific_Name	Mustela ermina	unmatched	Mustela erminea					
Scientific_Name	Reithrodontymys megalotis	unmatched	Reithrodontomys megalotis					
Scientific_Name	Marmota flavaventris	unmatched	Marmota flaviventris					
Scientific_Name	Carex D	unmatched		Genus = Carex & Family = Cyperaceae & Order = Poales & Class = Magnoliopsida & Phylum = Tracheophyta & Kingdom = Plantae & Unidentified = yes				
Scientific_Name	Carex F	unmatched		Genus = Carex & Family = Cyperaceae & Order = Poales & Class = Magnoliopsida & Phylum = Tracheophyta & Kingdom = Plantae & Unidentified = yes				
Scientific_Name	Carex J	unmatched		Genus = Carex & Family = Cyperaceae & Order = Poales & Class = Magnoliopsida & Phylum = Tracheophyta & Kingdom = Plantae & Unidentified = yes				
Scientific_Name	Carex K	unmatched		Genus = Carex & Family = Cyperaceae & Order = Poales & Class = Magnoliopsida & Phylum = Tracheophyta & Kingdom = Plantae & Unidentified = yes				
Scientific_Name	Carex I	unmatched		Genus = Carex & Family = Cyperaceae & Order = Poales & Class = Magnoliopsida & Phylum = Tracheophyta & Kingdom = Plantae & Unidentified = yes				
Scientific_Name	Carex E	unmatched		Genus = Carex & Family = Cyperaceae & Order = Poales & Class = Magnoliopsida & Phylum = Tracheophyta & Kingdom = Plantae & Unidentified = yes				
Scientific_Name	Avena fatua?	unmatched	Avena fatua					
Scientific_Name	Inula Helenium	wrong rank; too high	Inula helenium					
Scientific_Name	Mercurialis perennis	unmatched		Genus = Mercurialis & Family = Euphorbiaceae & Order = Malpighiales & Class = Magnoliopsida & Phylum = Tracheophyta & Kingdom = Plantae & Unidentified = yes				
Scientific_Name	Pinus viginiana	unmatched	Pinus virginiana					
Scientific_Name	Entylia concisa	unmatched	Entylia carinata					
Scientific_Name	Micrutalis calva	unmatched		Genus = Micrutalis & Family = Membracidae & Order = Hemiptera & Class = Insecta & Phylum = Arthropoda & Kingdom = Animalia & Unidentified = no				
Scientific_Name	Micrutalis parva	unmatched		Genus = Micrutalis & Family = Membracidae & Order = Hemiptera & Class = Insecta & Phylum = Arthropoda & Kingdom = Animalia & Unidentified = no				
Scientific_Name	Tetigonia hieroglyphica	unmatched	Graphocephala hieroglyphica					
Scientific_Name	Cicadula 6-punctata	unmatched		Genus = Cicadula & Family = Cicadellidae & Order = Hemiptera & Class = Insecta & Phylum = Arthropoda & Kingdom = Animalia & Unidentified = no				
Scientific_Name	Tylopelta brevis	unmatched		Genus = Tylopelta & Family = Membracidae & Order = Hemiptera & Class = Insecta & Phylum = Arthropoda & Kingdom = Animalia & Unidentified = no				
Scientific_Name	Bembidium versicolor	unmatched	Bembidion versicolor					
Scientific_Name	Tachys tripunctata	unmatched		Genus = Tachys & Family = Carabidae & Order = Coleoptera & Class = Insecta & Phylum = Arthropoda & Kingdom = Animalia & Unidentified = no				
Scientific_Name	Agonoderus pallipes	unmatched		Genus = Agonoderus & Family = Carabidae & Order = Coleoptera & Class = Insecta & Phylum = Arthropoda & Kingdom = Animalia & Unidentified = no				
Scientific_Name	Hydrochus subcupreus?	unmatched	Hydrochus subcupreus					
Scientific_Name	Cercyon melanocephalum	unmatched	Cercyon melanocephalus					
Scientific_Name	Heterothops fasculus	unmatched	Heterothops fusculus					
Scientific_Name	Xantholinus obsidianus	unmatched		Genus = Xantholinus & Family = Staphylinidae & Order = Coleoptera & Class = Insecta & Phylum = Arthropoda & Kingdom = Animalia & Unidentified = no				
Scientific_Name	Cilea silphoides	unmatched		Genus = Cilea & Family = Staphylinidae & Order = Coleoptera & Class = Insecta & Phylum = Arthropoda & Kingdom = Animalia & Unidentified = no				
Scientific_Name	Stilbus apicalis	unmatched		Genus = Stilbus & Family = Phalacridae & Order = Coleoptera & Class = Insecta & Phylum = Arthropoda & Kingdom = Animalia & Unidentified = no				
Scientific_Name	Typhaea fumata	unmatched	Typhaea stercorea					
Scientific_Name	Hister?americanus	unmatched	Hister americanus					
Scientific_Name	Hister subrotundus	unmatched		Genus = Hister & Family = Histeridae & Order = Coleoptera & Class = Insecta & Phylum = Arthropoda & Kingdom = Animalia & Unidentified = no				
Scientific_Name	Saprinus scissus	unmatched		Genus = Saprinus & Family = Histeridae & Order = Coleoptera & Class = Insecta & Phylum = Arthropoda & Kingdom = Animalia & Unidentified = no				
Scientific_Name	Saprinus lubricus	wrong rank; too high		Genus = Saprinus & Family = Histeridae & Order = Coleoptera & Class = Insecta & Phylum = Arthropoda & Kingdom = Animalia & Unidentified = no				
