Common_Name	Scientific_Name	Subspecies	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Analysis_Number	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Inclusive_Prey_Taxon	Prey_Name_ITIS_ID	Prey_Name_Status	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source
Red-tailed Tropicbird	Phaethon rubricauda		Phaethontidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Hawaii	Christmas Island	coral atoll	3	1963	2	1964	NA	1	Animalia	Chordata	Teleostei	Beloniformes	Belonoidei	Exocoetidae			yes			NA	NA	flyingfishes	0.606060606	Items	33	49	2	emetic		EM	"Ashmole, N. P. and M. J. Ashmole. 1967. Comparative feeding ecology of sea birds of a tropical oceanic island. Bull. Peabody Mus. Nat. Hist. 24:1-131."
Red-tailed Tropicbird	Phaethon rubricauda		Phaethontidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Hawaii	Christmas Island	coral atoll	3	1963	2	1964	NA	1	Animalia	Chordata	Teleostei	Perciformes	Percoidei	Coryphaenidae	Coryphaena		yes			NA	NA	dolphins	0.121212121	Items	33	49	2	emetic		EM	"Ashmole, N. P. and M. J. Ashmole. 1967. Comparative feeding ecology of sea birds of a tropical oceanic island. Bull. Peabody Mus. Nat. Hist. 24:1-131."
Red-tailed Tropicbird	Phaethon rubricauda		Phaethontidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Hawaii	Christmas Island	coral atoll	3	1963	2	1964	NA	1	Animalia	Chordata	Teleostei	Tetraodontiformes	Tetraodontoidei	Tetraodontidae			yes			NA	NA	toadfishes	0.090909091	Items	33	49	2	emetic	Including Lycocephalus sp. 	EM	"Ashmole, N. P. and M. J. Ashmole. 1967. Comparative feeding ecology of sea birds of a tropical oceanic island. Bull. Peabody Mus. Nat. Hist. 24:1-131."
Red-tailed Tropicbird	Phaethon rubricauda		Phaethontidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Hawaii	Christmas Island	coral atoll	3	1963	2	1964	NA	1	Animalia	Chordata	Teleostei	Tetraodontiformes	Tetraodontoidei	Diodontidae			yes			NA	NA	porcupinefishes	0.181818182	Items	33	49	2	emetic	Including Diodon sp. 	EM	"Ashmole, N. P. and M. J. Ashmole. 1967. Comparative feeding ecology of sea birds of a tropical oceanic island. Bull. Peabody Mus. Nat. Hist. 24:1-131."
Red-tailed Tropicbird	Phaethon rubricauda		Phaethontidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Hawaii	Christmas Island	coral atoll	3	1963	2	1964	NA	2	Animalia	Chordata							yes			NA	NA	fish	0.33	Items	184	49	2	emetic		EM	"Ashmole, N. P. and M. J. Ashmole. 1967. Comparative feeding ecology of sea birds of a tropical oceanic island. Bull. Peabody Mus. Nat. Hist. 24:1-131."
Red-tailed Tropicbird	Phaethon rubricauda		Phaethontidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Hawaii	Christmas Island	coral atoll	3	1963	2	1964	NA	2	Animalia	Mollusca	Cephalopoda						yes			NA	NA	squid	0.64	Items	184	49	2	emetic		EM	"Ashmole, N. P. and M. J. Ashmole. 1967. Comparative feeding ecology of sea birds of a tropical oceanic island. Bull. Peabody Mus. Nat. Hist. 24:1-131."
Red-tailed Tropicbird	Phaethon rubricauda		Phaethontidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Hawaii	Christmas Island	coral atoll	3	1963	2	1964	NA	2	Animalia								no			NA	NA	invertebrates	0.03	Items	184	49	2	emetic		EM	"Ashmole, N. P. and M. J. Ashmole. 1967. Comparative feeding ecology of sea birds of a tropical oceanic island. Bull. Peabody Mus. Nat. Hist. 24:1-131."
Red-tailed Tropicbird	Phaethon rubricauda		Phaethontidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Hawaii	Christmas Island	coral atoll	3	1963	2	1964	NA	3	Animalia	Chordata							yes			NA	NA	fish	0.53	Wt_or_Vol	184	49	2	emetic		EM	"Ashmole, N. P. and M. J. Ashmole. 1967. Comparative feeding ecology of sea birds of a tropical oceanic island. Bull. Peabody Mus. Nat. Hist. 24:1-131."
Red-tailed Tropicbird	Phaethon rubricauda		Phaethontidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Hawaii	Christmas Island	coral atoll	3	1963	2	1964	NA	3	Animalia	Mollusca	Cephalopoda						yes			NA	NA	squid	0.47	Wt_or_Vol	184	49	2	emetic		EM	"Ashmole, N. P. and M. J. Ashmole. 1967. Comparative feeding ecology of sea birds of a tropical oceanic island. Bull. Peabody Mus. Nat. Hist. 24:1-131."
Red-tailed Tropicbird	Phaethon rubricauda		Phaethontidae	eBird Clements Checklist v2019	NA	NA	NA	NA	NA	Hawaii	Christmas Island	coral atoll	3	1963	2	1964	NA	3	Animalia								no			NA	NA	invertebrates	0.001	Wt_or_Vol	184	49	2	emetic		EM	"Ashmole, N. P. and M. J. Ashmole. 1967. Comparative feeding ecology of sea birds of a tropical oceanic island. Bull. Peabody Mus. Nat. Hist. 24:1-131."
