Common_Name	Scientific_Name	Subspecies	Family	Taxonomy	Longitude_dd	Latitude_dd	Altitude_min_m	Altitude_mean_m	Altitude_max_m	Location_Region	Location_Specific	Habitat_type	Observation_Month_Begin	Observation_Year_Begin	Observation_Month_End	Observation_Year_End	Observation_Season	Analysis_Number	Prey_Kingdom	Prey_Phylum	Prey_Class	Prey_Order	Prey_Suborder	Prey_Family	Prey_Genus	Prey_Scientific_Name	Inclusive_Prey_Taxon	Prey_Name_ITIS_ID	Prey_Name_Status	Prey_Stage	Prey_Part	Prey_Common_Name	Fraction_Diet	Diet_Type	Item_Sample_Size	Bird_Sample_Size	Sites	Study_Type	Notes	Entered_By	Source
Pied-billed Grebe	Podilymbus podiceps	antillarum	Podicipedidae		NA	NA	NA	NA	NA	Puerto Rico	Laguna de Manati	wetland	7	1912	7	1912	summer	1	Animalia	Arthropoda	Insecta	Odonata					yes				NA	dragon flies	0.074074074	Items	27	1	1	stomach contents		CB	
Pied-billed Grebe	Podilymbus podiceps	antillarum	Podicipedidae		NA	NA	NA	NA	NA	Puerto Rico	Laguna de Manati	wetland	7	1912	7	1912	summer	1	Animalia	Arthropoda	Malacostraca	Decapoda	Pleocyemata				yes				NA	crawfish	0.925925926	Items	27	1	1	stomach contents		CB	
Green Heron	Butorides virescens		Ardeidae		NA	NA	NA	NA	NA	Puerto Rico		wetland	12	1911	8	1912	winter; spring; summer	1	Animalia	Arthropoda	Insecta	Orthoptera	Ensifera	Gryllotalpidae	Scapteriscus	Scapteriscus didactylus	yes			adult; nymph	NA	mole cricket	0.5433	Wt_or_Vol	NA	51	NA	stomach contents		CB	
Green Heron	Butorides virescens		Ardeidae		NA	NA	NA	NA	NA	Puerto Rico		wetland	12	1911	8	1912	winter; spring; summer	1	Animalia	Arthropoda	Insecta	Orthoptera					no				NA		0.0592	Wt_or_Vol	NA	51	NA	stomach contents		CB	
Green Heron	Butorides virescens		Ardeidae		NA	NA	NA	NA	NA	Puerto Rico		wetland	12	1911	8	1912	winter; spring; summer	1	Animalia	Arthropoda	Insecta	Odonata					yes			larva; adult	NA	dragon flies	0.0384	Wt_or_Vol	NA	51	NA	stomach contents		CB	
Green Heron	Butorides virescens		Ardeidae		NA	NA	NA	NA	NA	Puerto Rico		wetland	12	1911	8	1912	winter; spring; summer	1	Animalia	Arthropoda	Insecta						no				NA		0.0673	Wt_or_Vol	NA	51	NA	stomach contents		CB	
Green Heron	Butorides virescens		Ardeidae		NA	NA	NA	NA	NA	Puerto Rico		wetland	12	1911	8	1912	winter; spring; summer	1	Animalia	Chordata							no				NA	fish	0.0952	Wt_or_Vol	NA	51	NA	stomach contents	small killifishes and gobies	CB	
Green Heron	Butorides virescens		Ardeidae		NA	NA	NA	NA	NA	Puerto Rico		wetland	12	1911	8	1912	winter; spring; summer	1	Animalia	Arthropoda	Malacostraca	Decapoda					yes				NA	crustaceans	0.1471	Wt_or_Vol	NA	51	NA	stomach contents	small crabs and crawfish	CB	
Green Heron	Butorides virescens		Ardeidae		NA	NA	NA	NA	NA	Puerto Rico		wetland	12	1911	8	1912	winter; spring; summer	1	Animalia	Chordata	Reptilia	Squamata	Iguania	Dactyloidae	Anolis		yes				NA	lizards	0.0115	Wt_or_Vol	NA	51	NA	stomach contents		CB	
Green Heron	Butorides virescens		Ardeidae		NA	NA	NA	NA	NA	Puerto Rico		wetland	12	1911	8	1912	winter; spring; summer	1	Animalia	Chordata	Amphibia	Anura		Leptodactylidae	Leptodactylus	Leptodactylus albilabris	yes				NA	ranas	0.0061	Wt_or_Vol	NA	51	NA	stomach contents		CB	
